date,title,price
2021-09-16 22:27:21,Apple AirPods Pro,"193,29"
2021-09-16 22:27:21,Apple AirPods Pro,"193,29"
2021-09-16 23:16:16,Apple AirPods Pro,"193,29"
2021-09-16 23:16:20,Apple AirPods Pro,"193,29"
2021-09-16 23:17:41,Apple AirPods Pro,"193,29"
2021-09-16 23:39:07,Apple AirPods Pro,"193,29"
2021-09-16 23:39:28,Apple AirPods Pro,"193,29"
2021-09-16 23:42:01,Apple AirPods Pro,193.29
2021-09-16 23:42:29,Apple AirPods Pro,193.29
2021-09-16 23:45:47,Apple AirPods Pro,193.29
2021-09-16 23:45:57,Apple AirPods Pro,193.29
2021-09-16 23:46:08,Apple AirPods Pro,193.29
2021-09-16 23:51:15,Apple AirPods Pro,193.29
2021-09-16 23:51:19,Apple AirPods Pro,193.29
2021-09-17 20:25:27,Apple AirPods Pro,193.29
2021-09-17 20:25:34,Apple AirPods Pro,193.29
2021-09-17 20:27:05,Apple AirPods Pro,193.29
2021-09-17 20:27:27,Apple AirPods Pro,193.29
2021-09-17 20:27:46,Apple AirPods Pro,193.29
2021-09-17 20:29:08,Apple AirPods Pro,193.29
2021-09-17 20:29:53,Apple AirPods Pro,193.29
2021-09-17 20:30:03,Apple AirPods Pro,193.29
2021-09-17 20:32:22,Apple AirPods Pro,193.29
2021-09-17 20:35:22,Apple AirPods Pro,193.29
2021-09-17 20:36:27,Apple AirPods Pro,193.29
2021-09-17 20:36:58,Apple AirPods Pro,193.29
2021-09-17 20:39:54,Apple AirPods Pro,193.29
2021-09-17 20:40:28,Apple AirPods Pro,193.29
2021-09-17 20:41:24,Apple AirPods Pro,193.29
2021-09-17 20:43:57,Apple AirPods Pro,193.29
2021-09-17 20:44:11,Apple AirPods Pro,193.29
2021-09-17 20:46:35,Apple AirPods Pro,193.29
2021-09-17 20:47:38,Apple AirPods Pro,193.29
2021-09-17 20:48:23,Apple AirPods Pro,193.29
2021-09-17 20:49:21,Apple AirPods Pro,193.29
2021-09-17 20:54:08,Apple AirPods Pro,193.29
2021-09-17 20:54:33,Apple AirPods Pro,193.29
2021-09-17 20:55:27,Apple AirPods Pro,193.29
2021-09-17 21:01:40,Apple AirPods Pro,193.29
2021-09-17 21:02:02,Apple AirPods Pro,193.29
2021-09-17 21:03:09,Apple AirPods Pro,193.29
2021-09-17 21:05:35,Apple AirPods Pro,193.29
2021-09-17 21:06:10,Apple AirPods Pro,193.29
2021-09-17 21:10:17,Apple AirPods Pro,193.29
2021-09-17 21:12:18,Apple AirPods Pro,193.29
2021-09-17 21:13:11,Apple AirPods Pro,193.29
2021-09-17 21:13:37,Apple AirPods Pro,193.29
2021-09-17 21:14:00,Apple AirPods Pro,193.29
2021-09-17 21:15:11,Apple AirPods Pro,193.29
2021-09-17 21:15:33,Apple AirPods Pro,193.29
2021-09-17 21:15:57,Apple AirPods Pro,193.29
2021-09-17 21:16:09,Apple AirPods Pro,193.29
2021-09-17 21:19:46,Apple AirPods Pro,193.29
2021-09-17 21:26:37,Apple AirPods Pro,193.29
2021-09-17 21:29:55,Apple AirPods Pro,193.29
2021-09-17 21:30:13,Apple AirPods Pro,193.29
2021-09-17 21:37:06,Apple AirPods Pro,193.29
2021-09-17 21:38:55,Apple AirPods Pro,193.29
2021-09-17 21:42:38,Apple AirPods Pro,193.29
2021-09-17 21:42:55,Apple AirPods Pro,193.29
2021-09-17 21:44:54,Apple AirPods Pro,193.29
2021-09-17 21:45:26,Apple AirPods Pro,193.29
2021-09-17 21:46:51,Apple AirPods Pro,193.29
2021-09-17 21:47:47,Apple AirPods Pro,193.29
2021-09-17 21:48:20,Apple AirPods Pro,193.29
2021-09-17 21:55:29,Apple AirPods Pro,193.29
2021-09-17 21:56:11,Apple AirPods Pro,193.29
2021-09-17 21:57:04,Apple AirPods Pro,193.29
2021-09-17 21:58:50,Apple AirPods Pro,193.29
2021-09-17 21:59:11,Apple AirPods Pro,193.29
2021-09-17 22:04:13,Apple AirPods Pro,193.29
2021-09-17 22:04:19,Apple AirPods Pro,193.29
2021-09-17 22:06:19,Apple AirPods Pro,193.29
2021-09-17 22:09:02,Apple AirPods Pro,193.29
2021-09-17 22:17:34,Apple AirPods Pro,193.29
2021-09-17 22:18:09,Apple AirPods Pro,193.29
2021-09-17 22:18:23,Apple AirPods Pro,193.29
2021-09-17 22:18:27,Apple AirPods Pro,193.29
2021-09-17 22:21:17,Apple AirPods Pro,193.29
2021-09-17 22:21:20,Apple AirPods Pro,193.29
2021-09-17 22:21:46,Apple AirPods Pro,193.29
2021-09-18 22:18:26,Apple AirPods Pro,175.00
2021-09-18 22:20:03,Apple AirPods Pro,175.00
2021-09-18 22:21:02,Apple AirPods Pro,175.00
2021-09-18 22:21:41,Apple AirPods Pro,175.00
2021-09-18 22:23:10,Apple AirPods Pro,175.00
2021-09-18 22:31:43,Apple AirPods Pro,175.00
2021-09-18 22:33:51,Apple AirPods Pro,175.00
2021-09-18 22:37:02,Apple AirPods Pro,175.00
2021-09-18 22:37:39,Apple AirPods Pro,175.00
